Year,Kar,And,Buk,Jiz,Kash,Nav,Nam,Sam,Sur,Syr,Tash,Fer,Khor,Tashs,Uzb
2010,16900,15500,14400,8600,11600,9700,12500,23000,7000,4100,12000,19600,8800,110800,274500
2011,15500,14000,13400,8400,10500,8500,11000,22200,6400,3800,10400,17600,8100,103200,253000
2012,15900,15200,13700,8900,11200,8400,11100,23300,6500,3900,9100,18100,8300,104700,258300
2013,16000,15600,13800,9300,11800,8100,10700,24300,6600,3800,8200,18500,8300,104100,259100
2014,16400,16500,13500,10100,12700,8500,11000,25100,6700,3800,7400,18200,8400,103200,261500
2015,16900,17300,13700,10300,13300,8400,11000,26000,7000,3800,7100,18200,8600,102700,264300
2016,17500,17500,14000,10900,14300,8800,11500,26900,7500,3900,7300,18400,9100,100700,268300
2017,19500,19200,16000,12500,15800,9700,13300,29100,9300,4600,8100,21500,10500,108700,297800
2018,22300,21700,20900,14700,18300,11600,16700,34900,15000,6800,14900,27200,13400,121500,360200
2019,25500,26000,24800,18000,22400,13600,20100,41100,20100,9100,21000,35800,16200,147300,441000